COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
024 Pharma  Inc.,1307969,3089,3/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1307969/000168316817000653/0001683168-17-000653.txt
1 800 FLOWERS COM INC,1084869,5990,9/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1084869/000143774917015969/0001437749-17-015969.txt
1347 Property Insurance Holdings  Inc.,1591890,6331,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1591890/000138713117001422/0001387131-17-001422.txt
1847 Holdings LLC,1599407,8742,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1599407/000147793217001780/0001477932-17-001780.txt
1PM Industries,859747,2000,6/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/859747/0000147793217002839/0001477932-17-002839.txt
1ST CONSTITUTION BANCORP,1141807,6035,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1141807/000114180717000012/0001141807-17-000012.txt
1st FRANKLIN FINANCIAL CORP,38723,6141,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/38723/00000137647417000071/0001376474-17-000071.txt
1ST SOURCE CORP,34782,6022,2/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/34782/00000003478217000036/0000034782-17-000036.txt
2050 MOTORS  INC.,867028,2844,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/867028/0000149315217004020/0001493152-17-004020.txt
22nd Century Group  Inc.,1347858,2111,3/8/2017,10-K,http://www.sec.gov/Archives/edgar/data/1347858/000114420417013462/0001144204-17-013462.txt
2U  Inc.,1459417,7372,2/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/0001047469-17-000950.txt
3D SYSTEMS CORP,910638,7372,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/910638/0000091063817000003/0000910638-17-000003.txt
3DICON CORP,1375195,3669,4/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1375195/000114420417020528/0001144204-17-020528.txt
3M CO,66740,3841,2/9/2017,10-K,http://www.sec.gov/Archives/edgar/data/66740/00000155837017000479/0001558370-17-000479.txt
3PEA INTERNATIONAL  INC.,1496443,7389,3/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/1496443/000168316817000670/0001683168-17-000670.txt
3Power Energy Group Inc.,1221554,3510,7/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1221554/000114420417036876/0001144204-17-036876.txt
8point3 Energy Partners LP,1635581,4911,1/26/2017,10-K,http://www.sec.gov/Archives/edgar/data/1635581/000156459017000660/0001564590-17-000660.txt
